Date,Open,High,Low,Close,Gain,% Gain
1/22/2018,2809.16,2833.03,2808.12,2832.97,23.81,0.0085
1/23/2018,2835.05,2842.24,2830.59,2839.13,4.08,0.0014
1/24/2018,2845.42,2852.97,2824.81,2837.54,-7.88,-0.0028
1/25/2018,2846.24,2848.56,2830.94,2839.25,-6.99,-0.0025
1/26/2018,2847.48,2872.87,2846.18,2872.87,25.39,0.0089
1/29/2018,2867.23,2870.62,2851.48,2853.53,-13.70,-0.0048
1/30/2018,2832.74,2837.75,2818.27,2822.43,-10.31,-0.0036
1/31/2018,2832.41,2839.26,2813.04,2823.81,-8.60,-0.0030
2/1/2018,2816.45,2835.96,2812.70,2821.98,5.53,0.0020
2/2/2018,2808.92,2808.92,2759.97,2762.13,-46.79,-0.0167
2/5/2018,2741.06,2763.39,2638.17,2648.94,-92.12,-0.0336
2/6/2018,2614.78,2701.04,2593.07,2695.14,80.36,0.0307
2/7/2018,2690.95,2727.67,2681.33,2681.66,-9.29,-0.0035
2/8/2018,2685.01,2685.27,2580.56,2581.00,-104.01,-0.0387
2/9/2018,2601.78,2638.67,2532.69,2619.55,17.77,0.0068
2/12/2018,2636.75,2672.61,2622.45,2656.00,19.25,0.0073
2/13/2018,2646.27,2668.84,2637.08,2662.94,16.67,0.0063
2/14/2018,2651.21,2702.10,2648.87,2698.63,47.42,0.0179
2/15/2018,2713.46,2731.51,2689.82,2731.20,17.74,0.0065
2/16/2018,2727.14,2754.42,2725.11,2732.22,5.08,0.0019
2/20/2018,2722.99,2737.60,2706.76,2716.26,-6.73,-0.0025
2/21/2018,2720.53,2747.75,2701.29,2701.33,-19.20,-0.0071
2/22/2018,2710.42,2731.26,2697.77,2703.96,-6.46,-0.0024
2/23/2018,2715.80,2747.76,2713.74,2747.30,31.50,0.0116
2/26/2018,2757.37,2780.64,2753.78,2779.60,22.23,0.0081
2/27/2018,2780.45,2789.15,2744.22,2744.28,-36.17,-0.0130
2/28/2018,2753.78,2761.52,2713.54,2713.83,-39.95,-0.0145
3/1/2018,2715.22,2730.89,2659.65,2677.67,-37.55,-0.0138
3/2/2018,2658.89,2696.25,2647.32,2691.25,32.36,0.0122
3/5/2018,2681.06,2728.09,2675.75,2720.94,39.88,0.0149
3/6/2018,2730.18,2732.08,2711.26,2728.12,-2.06,-0.0008
